1539314770413,37.79,-2.60,-2.62
1539314780959,35.21,38.37,-3.16,-2.62
1539314781162,35.21,38.41,-3.20,-2.62
1539314781365,35.15,38.43,-3.28,-2.64
1539314781568,35.21,38.41,-3.20,-2.64
1539314781755,35.15,38.41,-3.26,-2.66
1539314781958,35.15,38.33,-3.18,-2.67
1539314782161,35.19,38.35,-3.16,-2.68
1539314782354,35.19,38.33,-3.14,-2.70
1539314782555,35.21,38.27,-3.06,-2.71
1539314782754,35.27,38.27,-3.00,-2.72
1539314782959,35.29,38.25,-2.96,-2.74
1539314783162,35.21,38.21,-3.00,-2.75
1539314783365,35.23,38.25,-3.02,-2.76
1539314783563,35.31,38.25,-2.94,-2.77
1539314783754,35.27,38.13,-2.86,-2.78
1539314783959,35.23,38.21,-2.98,-2.79
1539314784162,35.21,38.17,-2.96,-2.80
1539314784365,35.21,38.11,-2.90,-2.81
1539314784552,35.15,38.11,-2.96,-2.82
1539314784753,35.19,38.17,-2.98,-2.83
1539314784958,35.19,38.19,-3.00,-2.83
1539314785161,35.19,38.21,-3.02,-2.84
1539314785355,35.23,38.25,-3.02,-2.85
1539314785558,35.21,38.25,-3.04,-2.85
1539314785753,35.27,38.25,-2.98,-2.86
1539314785957,35.21,38.27,-3.06,-2.87
1539314786160,35.27,38.25,-2.98,-2.87
1539314786363,35.21,38.25,-3.04,-2.88
1539314786551,35.27,38.21,-2.94,-2.88
1539314786753,35.21,38.19,-2.98,-2.89
1539314786957,35.19,38.25,-3.06,-2.89
1539314787160,35.23,38.19,-2.96,-2.90
1539314787207,0,0,0,0
1539314787363,35.15,38.21,-3.06,-2.90
1539314787551,35.23,38.19,-2.96,-2.90
1539314787753,35.19,38.13,-2.94,-2.91
1539314787959,35.21,38.13,-2.92,-2.91
1539314788162,35.23,38.13,-2.90,-2.91
1539314788355,35.21,38.11,-2.90,-2.92
1539314788558,35.23,38.05,-2.82,-2.92
1539314788754,35.23,38.05,-2.82,-2.92
1539314788957,35.21,38.09,-2.88,-2.92
1539314789160,35.15,38.09,-2.94,-2.92
1539314789363,35.21,38.09,-2.88,-2.92
1539314789551,35.19,38.03,-2.84,-2.92
1539314789754,35.23,38.03,-2.80,-2.92
1539314789959,35.19,37.95,-2.76,-2.92
1539314790162,35.23,37.95,-2.72,-2.92
1539314790349,35.27,37.95,-2.68,-2.92
1539314790552,35.23,37.87,-2.64,-2.91
1539314790754,35.21,37.93,-2.72,-2.91
1539314790957,35.21,37.91,-2.70,-2.91
1539314791160,35.27,37.87,-2.60,-2.90
1539314791354,35.23,37.91,-2.68,-2.90
1539314791557,35.21,37.93,-2.72,-2.89
1539314791753,35.21,37.87,-2.66,-2.89
1539314791959,35.13,37.91,-2.78,-2.88
1539314792153,35.21,37.85,-2.64,-2.88
1539314792347,35.15,37.93,-2.78,-2.87
1539314792550,35.23,37.91,-2.68,-2.87
1539314792754,35.21,37.87,-2.66,-2.86
1539314792959,35.15,37.87,-2.72,-2.86
1539314793146,35.13,37.83,-2.70,-2.85
1539314793349,35.13,37.85,-2.72,-2.85
1539314793552,35.19,37.83,-2.64,-2.84
1539314793753,35.21,37.83,-2.62,-2.84
1539314793957,35.23,37.83,-2.60,-2.83
1539314794145,35.23,37.85,-2.62,-2.82
1539314794354,35.29,37.79,-2.50,-2.82
1539314794541,35.29,37.83,-2.54,-2.81
1539314794754,35.21,37.77,-2.56,-2.80
1539314794958,35.23,37.77,-2.54,-2.80
1539314795146,35.15,37.79,-2.64,-2.79
1539314795349,35.13,37.83,-2.70,-2.78
1539314795553,35.15,37.77,-2.62,-2.77
1539314795753,35.13,37.83,-2.70,-2.77
1539314795957,35.15,37.75,-2.60,-2.76
1539314796156,35.13,37.75,-2.62,-2.75
1539314796359,35.05,37.79,-2.74,-2.75
1539314796546,35.13,37.77,-2.64,-2.74
1539314796754,35.13,37.71,-2.58,-2.74
1539314796957,35.15,37.75,-2.60,-2.73
1539314797145,35.13,37.75,-2.62,-2.72
1539314797356,35.19,37.75,-2.56,-2.72
1539314797543,35.21,37.77,-2.56,-2.71
1539314797755,35.21,37.79,-2.58,-2.71
1539314797945,35.15,37.75,-2.60,-2.71
1539314798149,35.21,37.69,-2.48,-2.70
1539314798352,35.15,37.75,-2.60,-2.70
1539314798539,35.19,37.77,-2.58,-2.69
1539314798753,35.19,37.71,-2.52,-2.68
1539314798941,35.19,37.67,-2.48,-2.68
1539314799146,35.15,37.59,-2.44,-2.67
1539314799349,35.23,37.71,-2.48,-2.67
1539314799552,35.21,37.69,-2.48,-2.66
1539314799750,35.19,37.67,-2.48,-2.66
1539314799954,35.19,37.63,-2.44,-2.65
1539314800145,35.19,37.69,-2.50,-2.64
1539314800339,35.19,37.63,-2.44,-2.64
1539314800542,35.23,37.63,-2.40,-2.63
1539314800753,35.19,37.71,-2.52,-2.63
1539314800941,35.21,37.63,-2.42,-2.62
1539314801146,35.23,37.63,-2.40,-2.62
1539314801349,35.21,37.63,-2.42,-2.61
1539314801552,35.23,37.63,-2.40,-2.60
1539314801753,35.27,37.63,-2.36,-2.60
1539314801941,35.23,37.61,-2.38,-2.59
1539314802146,35.27,37.59,-2.32,-2.58
1539314802349,35.19,37.59,-2.40,-2.58
1539314802537,35.15,37.63,-2.48,-2.57
1539314802753,35.13,37.59,-2.46,-2.57
1539314802953,35.09,37.61,-2.52,-2.56
1539314803145,35.13,37.63,-2.50,-2.55
1539314803339,35.09,37.67,-2.58,-2.55
1539314803540,35.15,37.67,-2.52,-2.55
1539314803738,35.09,37.63,-2.54,-2.54
1539314803941,35.15,37.61,-2.46,-2.54
1539314804149,35.13,37.55,-2.42,-2.53
1539314804342,35.07,37.55,-2.48,-2.53
1539314804545,35.01,37.55,-2.54,-2.53
1539314804739,34.97,37.61,-2.64,-2.53
1539314804942,34.99,37.55,-2.56,-2.52
1539314805145,34.99,37.55,-2.56,-2.52
1539314805348,34.99,37.59,-2.60,-2.52
1539314805535,35.01,37.55,-2.54,-2.52
1539314805738,35.13,37.59,-2.46,-2.52
1539314805947,35.05,37.53,-2.48,-2.52
1539314806133,35.07,37.59,-2.52,-2.52
1539314806338,35.07,37.55,-2.48,-2.52
1539314806541,35.01,37.55,-2.54,-2.52
1539314806738,35.15,37.55,-2.40,-2.51
1539314806942,35.09,37.51,-2.42,-2.52
1539314807145,35.19,37.59,-2.40,-2.51
1539314807348,35.15,37.59,-2.44,-2.51
1539314807536,35.21,37.55,-2.34,-2.51
1539314807738,35.15,37.53,-2.38,-2.51
1539314807941,35.19,37.49,-2.30,-2.51
1539314808146,35.07,37.51,-2.44,-2.50
1539314808334,35.05,37.49,-2.44,-2.50
1539314808537,35.05,37.49,-2.44,-2.50
1539314808738,35.05,37.53,-2.48,-2.50
1539314808949,35.07,37.49,-2.42,-2.50
1539314809145,35.01,37.49,-2.48,-2.49
1539314809339,35.13,37.61,-2.48,-2.49
1539314809542,35.07,37.51,-2.44,-2.49
1539314809738,35.13,37.51,-2.38,-2.49
1539314809941,35.21,37.45,-2.24,-2.48
1539314810144,35.21,37.49,-2.28,-2.48
1539314810347,35.19,37.49,-2.30,-2.48
1539314810534,35.19,37.51,-2.32,-2.47
1539314810738,35.27,37.51,-2.24,-2.47
1539314810941,35.21,37.45,-2.24,-2.47
1539314811144,35.19,37.45,-2.26,-2.46
1539314811332,35.23,37.43,-2.20,-2.46
1539314811535,35.19,37.41,-2.22,-2.45
1539314811737,35.23,37.37,-2.14,-2.45
1539314811943,35.13,37.43,-2.30,-2.44
1539314812144,35.13,37.49,-2.36,-2.43
1539314812340,35.15,37.45,-2.30,-2.43
1539314812543,35.09,37.43,-2.34,-2.42
1539314812738,35.09,37.41,-2.32,-2.42
1539314812941,35.07,37.41,-2.34,-2.41
1539314813139,35.07,37.41,-2.34,-2.41
1539314813343,35.21,37.45,-2.24,-2.40
1539314813530,35.13,37.35,-2.22,-2.40
1539314813738,35.15,37.41,-2.26,-2.39
1539314813937,35.21,37.41,-2.20,-2.39
1539314814129,35.15,37.37,-2.22,-2.38
1539314814348,35.15,37.33,-2.18,-2.38
1539314814535,35.13,37.35,-2.22,-2.38
1539314814738,35.07,37.37,-2.30,-2.37
1539314814942,35.01,37.35,-2.34,-2.37
1539314815145,35.01,37.49,-2.48,-2.36
1539314815339,35.09,37.35,-2.26,-2.36
1539314815542,35.07,37.49,-2.42,-2.35
1539314815738,35.07,37.43,-2.36,-2.35
1539314815941,35.07,37.45,-2.38,-2.35
1539314816129,35.07,37.35,-2.28,-2.34
1539314816332,35.09,37.45,-2.36,-2.35
1539314816535,35.13,37.43,-2.30,-2.34
1539314816739,35.13,37.35,-2.22,-2.34
1539314816942,35.09,37.35,-2.26,-2.34
1539314817130,35.15,37.35,-2.20,-2.34
1539314817333,35.19,37.27,-2.08,-2.34
1539314817536,35.15,37.33,-2.18,-2.33
1539314817738,35.19,37.33,-2.14,-2.33
1539314817939,35.15,37.33,-2.18,-2.33
1539314818130,35.09,37.35,-2.26,-2.32
1539314818323,35.15,37.35,-2.20,-2.32
1539314818541,35.19,37.33,-2.14,-2.32
1539314818737,35.13,37.35,-2.22,-2.31
1539314818925,35.15,37.35,-2.20,-2.31
1539314819130,35.09,37.35,-2.26,-2.30
1539314819333,35.09,37.33,-2.24,-2.30
1539314819538,35.13,37.29,-2.16,-2.30
1539314819738,35.21,37.33,-2.12,-2.29
1539314819936,35.13,37.33,-2.20,-2.29
1539314820130,35.07,37.35,-2.28,-2.29
1539314820340,35.13,37.33,-2.20,-2.28
1539314820536,35.15,37.37,-2.22,-2.28
1539314820722,35.13,37.33,-2.20,-2.28
1539314820941,35.15,37.33,-2.18,-2.28
1539314821130,35.19,37.35,-2.16,-2.27
1539314821338,35.13,37.29,-2.16,-2.27
1539314821529,35.13,37.35,-2.22,-2.27
1539314821737,35.09,37.35,-2.26,-2.26
1539314821925,35.15,37.33,-2.18,-2.26
1539314822130,35.09,37.33,-2.24,-2.26
1539314822333,35.13,37.29,-2.16,-2.26
1539314822536,35.15,37.21,-2.06,-2.26
1539314822738,35.05,37.29,-2.24,-2.25
1539314822925,35.05,37.33,-2.28,-2.25
1539314823131,35.05,37.27,-2.22,-2.25
1539314823334,35.09,37.33,-2.24,-2.25
1539314823537,35.09,37.33,-2.24,-2.25
1539314823722,35.07,37.29,-2.22,-2.24
1539314823935,35.19,37.25,-2.06,-2.24
1539314824129,35.15,37.25,-2.10,-2.24
1539314824323,35.21,37.27,-2.06,-2.24
1539314824526,35.15,37.25,-2.10,-2.24
1539314824722,35.19,37.25,-2.06,-2.23
1539314824925,35.15,37.27,-2.12,-2.23
1539314825130,35.07,37.29,-2.22,-2.23
1539314825333,35.09,37.29,-2.20,-2.23
1539314825521,35.05,37.25,-2.20,-2.22
1539314825738,35.13,37.27,-2.14,-2.22
1539314825925,35.05,37.29,-2.24,-2.22
1539314826131,35.01,37.29,-2.28,-2.22
1539314826318,35.05,37.21,-2.16,-2.22
1539314826521,35.01,37.33,-2.32,-2.22
1539314826737,35.01,37.33,-2.32,-2.22
1539314826934,35.05,37.29,-2.24,-2.22
1539314827129,34.99,37.27,-2.28,-2.21
1539314827323,35.07,37.27,-2.20,-2.22
1539314827526,35.13,37.29,-2.16,-2.22
1539314827722,35.13,37.29,-2.16,-2.22
1539314827925,35.15,37.27,-2.12,-2.22
1539314828130,35.21,37.27,-2.06,-2.22
1539314828333,35.13,37.25,-2.12,-2.22
1539314828520,35.15,37.29,-2.14,-2.21
1539314828722,35.09,37.25,-2.16,-2.21
1539314828925,35.07,37.27,-2.20,-2.21
1539314829122,35.09,37.29,-2.20,-2.21
1539314829325,35.15,37.27,-2.12,-2.21
1539314829527,35.13,37.29,-2.16,-2.21
1539314829722,35.13,37.27,-2.14,-2.21
1539314829928,35.13,37.29,-2.16,-2.21
1539314830129,35.15,37.25,-2.10,-2.20
1539314830323,35.13,37.27,-2.14,-2.20
1539314830526,35.07,37.25,-2.18,-2.20
1539314830722,35.05,37.25,-2.20,-2.20
1539314830925,35.13,37.25,-2.12,-2.20
1539314831129,35.15,37.27,-2.12,-2.19
1539314831316,35.15,37.25,-2.10,-2.19
1539314831519,35.19,37.21,-2.02,-2.19
1539314831722,35.19,37.13,-1.94,-2.19
1539314831925,35.19,37.17,-1.98,-2.19
1539314832115,35.15,37.19,-2.04,-2.18
1539314832318,35.19,37.19,-2.00,-2.18
1539314832521,35.13,37.25,-2.12,-2.18
1539314832729,35.09,37.21,-2.12,-2.17
1539314832926,35.13,37.19,-2.06,-2.17
1539314833129,35.05,37.21,-2.16,-2.17
1539314833323,35.15,37.19,-2.04,-2.16
1539314833526,35.15,37.21,-2.06,-2.16
1539314833722,35.21,37.19,-1.98,-2.16
1539314833925,35.19,37.17,-1.98,-2.16
1539314834130,35.15,37.17,-2.02,-2.15
1539314834323,35.15,37.11,-1.96,-2.15
1539314834526,35.01,37.17,-2.16,-2.14
1539314834722,35.07,37.11,-2.04,-2.14
1539314834925,35.07,37.11,-2.04,-2.14
1539314835115,35.09,37.17,-2.08,-2.13
1539314835318,35.09,37.19,-2.10,-2.13
1539314835521,35.05,37.13,-2.08,-2.13
1539314835722,35.13,37.13,-2.00,-2.12
1539314835910,35.01,37.17,-2.16,-2.12
1539314836129,35.13,37.17,-2.04,-2.12
1539314836323,35.13,37.17,-2.04,-2.12
1539314836526,35.13,37.13,-2.00,-2.11
1539314836722,35.13,37.17,-2.04,-2.11
1539314836925,35.15,37.19,-2.04,-2.11
1539314837115,35.15,37.13,-1.98,-2.11
1539314837321,35.13,37.11,-1.98,-2.11
1539314837524,35.19,37.13,-1.94,-2.10
1539314837722,35.15,37.17,-2.02,-2.10
1539314837925,35.19,37.17,-1.98,-2.10
1539314838115,35.13,37.17,-2.04,-2.09
1539314838318,35.21,37.13,-1.92,-2.09
1539314838521,35.07,37.17,-2.10,-2.09
1539314838722,35.09,37.21,-2.12,-2.08
1539314838909,35.13,37.17,-2.04,-2.08
1539314839113,35.13,37.17,-2.04,-2.08
1539314839323,35.15,37.19,-2.04,-2.08
1539314839510,35.15,37.19,-2.04,-2.08
1539314839722,35.15,37.13,-1.98,-2.07
1539314839910,35.15,37.17,-2.02,-2.07
1539314840115,35.15,37.13,-1.98,-2.07
1539314840318,35.15,37.11,-1.96,-2.07
1539314840521,35.19,37.11,-1.92,-2.07
1539314840721,35.19,37.17,-1.98,-2.06
1539314840925,35.15,37.13,-1.98,-2.06
1539314841115,35.09,37.17,-2.08,-2.06
1539314841318,35.07,37.17,-2.10,-2.06
1539314841515,35.09,37.13,-2.04,-2.06
1539314841722,35.05,37.13,-2.08,-2.05
1539314841925,35.05,37.17,-2.12,-2.05
1539314842116,35.07,37.13,-2.06,-2.05
1539314842307,35.05,37.13,-2.08,-2.05
1539314842510,35.15,37.17,-2.02,-2.05
1539314842722,35.15,37.17,-2.02,-2.05
1539314842910,35.07,37.19,-2.12,-2.05
1539314843115,35.15,37.19,-2.04,-2.05
1539314843302,35.15,37.11,-1.96,-2.05
1539314843521,35.07,37.11,-2.04,-2.05
1539314843718,35.07,37.09,-2.02,-2.05
1539314843910,35.05,37.09,-2.04,-2.05
1539314844115,35.05,37.11,-2.06,-2.04
1539314844318,35.09,37.05,-1.96,-2.05
1539314844521,35.01,37.11,-2.10,-2.04
1539314844718,35.01,37.11,-2.10,-2.04
1539314844909,35.01,37.13,-2.12,-2.04
1539314845113,34.97,37.11,-2.14,-2.04
1539314845307,35.05,37.09,-2.04,-2.04
1539314845510,35.09,37.09,-2.00,-2.04
1539314845721,35.09,37.09,-2.00,-2.04
1539314845910,35.13,37.11,-1.98,-2.05
1539314846115,35.13,37.05,-1.92,-2.04
1539314846318,35.21,37.05,-1.84,-2.04
1539314846505,35.19,37.05,-1.86,-2.04
1539314846721,35.05,37.01,-1.96,-2.04
1539314846909,35.13,37.05,-1.92,-2.04
1539314847115,35.07,37.01,-1.94,-2.03
1539314847302,35.07,37.03,-1.96,-2.03
1539314847505,35.07,37.01,-1.94,-2.03
1539314847716,35.05,37.09,-2.04,-2.03
1539314847909,35.01,37.09,-2.08,-2.03
1539314848113,35.01,37.09,-2.08,-2.02
1539314848307,34.97,37.05,-2.08,-2.02
1539314848510,35.05,37.09,-2.04,-2.02
1539314848715,35.13,37.03,-1.90,-2.02
1539314848909,35.13,37.11,-1.98,-2.02
1539314849115,35.09,37.09,-2.00,-2.02
1539314849318,35.21,37.09,-1.88,-2.02
1539314849505,35.15,37.03,-1.88,-2.02
1539314849714,35.19,37.01,-1.82,-2.02
1539314849903,35.09,37.05,-1.96,-2.02
1539314850113,35.13,37.03,-1.90,-2.01
1539314850316,35.07,36.97,-1.90,-2.01
1539314850504,35.07,36.97,-1.90,-2.01
1539314850718,35.05,37.01,-1.96,-2.01
1539314850909,35.07,37.01,-1.94,-2.00
1539314851113,35.05,37.03,-1.98,-2.00
1539314851307,35.05,36.97,-1.92,-2.00
1539314851510,35.07,37.03,-1.96,-2.00
1539314851713,35.05,37.01,-1.96,-2.00
1539314851910,35.07,37.05,-1.98,-2.00
1539314852113,35.07,36.97,-1.90,-1.99
1539314852301,35.05,37.05,-2.00,-1.99
1539314852504,35.05,37.09,-2.04,-1.99
1539314852713,35.01,37.03,-2.02,-1.99
1539314852909,35.01,37.03,-2.02,-1.99
1539314853099,35.01,36.97,-1.96,-1.99
1539314853302,35.05,37.01,-1.96,-1.99
1539314853505,35.01,36.97,-1.96,-1.99
1539314853712,34.93,37.01,-2.08,-1.99
1539314853910,34.97,36.95,-1.98,-1.99
1539314854098,34.97,37.01,-2.04,-1.98
1539314854307,35.05,36.97,-1.92,-1.99
1539314854510,34.99,36.97,-1.98,-1.98
1539314854712,35.07,36.95,-1.88,-1.98
1539314854894,35.05,37.01,-1.96,-1.99
1539314855099,35.05,36.95,-1.90,-1.98
1539314855302,35.07,37.01,-1.94,-1.98
1539314855505,35.07,37.03,-1.96,-1.98
1539314855711,35.05,37.01,-1.96,-1.98
1539314855909,35.07,36.97,-1.90,-1.98
1539314856098,35.09,37.01,-1.92,-1.98
1539314856302,35.13,37.01,-1.88,-1.98
1539314856505,35.15,37.05,-1.90,-1.98
1539314856714,35.13,37.01,-1.88,-1.97
1539314856911,35.21,36.97,-1.76,-1.97
1539314857098,35.13,37.01,-1.88,-1.97
1539314857307,35.21,36.93,-1.72,-1.97
1539314857510,35.09,36.93,-1.84,-1.97
1539314857710,35.07,36.95,-1.88,-1.96
1539314857911,35.01,36.93,-1.92,-1.96
1539314858098,35.07,36.93,-1.86,-1.96
1539314858302,35.15,37.01,-1.86,-1.96
1539314858503,35.09,36.97,-1.88,-1.95
1539314858709,35.09,36.97,-1.88,-1.95
1539314858910,35.07,36.97,-1.90,-1.95
1539314859097,35.07,36.95,-1.88,-1.94
1539314859300,35.05,36.97,-1.92,-1.94
1539314859503,35.09,37.03,-1.94,-1.94
1539314859708,35.09,37.01,-1.92,-1.94
1539314859894,35.09,37.03,-1.94,-1.94
1539314860098,35.09,36.97,-1.88,-1.93
1539314860308,35.07,37.03,-1.96,-1.93
1539314860495,35.09,36.97,-1.88,-1.93
1539314860708,35.13,36.97,-1.84,-1.93
1539314860894,35.13,36.97,-1.84,-1.93
1539314861099,35.07,36.97,-1.90,-1.93
1539314861303,35.13,36.87,-1.74,-1.93
1539314861506,35.01,36.89,-1.88,-1.92
1539314861707,35.01,36.89,-1.88,-1.92
1539314861894,34.99,36.93,-1.94,-1.92
1539314862101,34.99,36.87,-1.88,-1.92
1539314862304,35.07,36.89,-1.82,-1.92
1539314862491,35.07,36.87,-1.80,-1.91
1539314862702,35.09,36.93,-1.84,-1.91
1539314862894,35.07,36.95,-1.88,-1.91
1539314863104,35.07,36.93,-1.86,-1.91
1539314863291,35.07,36.93,-1.86,-1.91
1539314863495,35.09,36.95,-1.86,-1.91
1539314863702,35.15,36.95,-1.80,-1.90
1539314863893,35.09,36.89,-1.80,-1.90
1539314864098,35.13,36.89,-1.76,-1.90
1539314864302,35.13,36.95,-1.82,-1.90
1539314864489,35.15,36.93,-1.78,-1.89
1539314864705,35.15,36.95,-1.80,-1.89
1539314864893,35.15,36.87,-1.72,-1.89
1539314865099,35.19,36.85,-1.66,-1.88
1539314865302,35.13,36.85,-1.72,-1.88
1539314865489,35.19,36.85,-1.66,-1.88
1539314865704,35.15,36.85,-1.70,-1.87
1539314865893,35.09,36.85,-1.76,-1.87
1539314866098,35.07,36.85,-1.78,-1.86
1539314866292,35.07,36.89,-1.82,-1.86
1539314866495,35.09,36.87,-1.78,-1.85
1539314866704,35.07,36.93,-1.86,-1.85
1539314866893,35.09,36.87,-1.78,-1.85
1539314867098,35.07,36.81,-1.74,-1.84
1539314867302,35.09,36.89,-1.80,-1.84
1539314867489,35.07,36.89,-1.82,-1.84
1539314867699,35.15,36.89,-1.74,-1.83
1539314867893,35.19,36.85,-1.66,-1.83
1539314868098,35.15,36.79,-1.64,-1.83
1539314868302,35.19,36.79,-1.60,-1.82
1539314868489,35.27,36.79,-1.52,-1.82
1539314868698,35.15,36.81,-1.66,-1.81
1539314868893,35.13,36.81,-1.68,-1.81
1539314869098,35.09,36.89,-1.80,-1.80
1539314869292,35.07,36.87,-1.80,-1.80
1539314869495,35.07,36.85,-1.78,-1.80
1539314869702,35.07,36.85,-1.78,-1.79
1539314869894,35.07,36.87,-1.80,-1.79
1539314870091,35.13,36.85,-1.72,-1.78
1539314870297,35.15,36.87,-1.72,-1.78
1539314870500,35.13,36.87,-1.74,-1.78
1539314870702,35.13,36.79,-1.66,-1.78
1539314870893,35.19,36.79,-1.60,-1.77
1539314871099,35.13,36.81,-1.68,-1.77
1539314871286,35.15,36.77,-1.62,-1.77
1539314871489,35.13,36.73,-1.60,-1.76
1539314871697,35.13,36.65,-1.52,-1.76
1539314871893,35.13,36.71,-1.58,-1.76
1539314872097,35.09,36.81,-1.72,-1.75
1539314872291,35.13,36.77,-1.64,-1.75
1539314872494,35.13,36.81,-1.68,-1.75
1539314872697,35.15,36.79,-1.64,-1.74
1539314872893,35.15,36.79,-1.64,-1.74
1539314873092,35.19,36.81,-1.62,-1.73
1539314873295,35.19,36.79,-1.60,-1.73
1539314873483,35.19,36.85,-1.66,-1.73
1539314873700,35.15,36.79,-1.64,-1.73
1539314873883,35.13,36.77,-1.64,-1.72
1539314874085,35.15,36.73,-1.58,-1.72
1539314874288,35.13,36.79,-1.66,-1.72
1539314874491,35.19,36.77,-1.58,-1.71
1539314874699,35.15,36.73,-1.58,-1.71
1539314874894,35.19,36.71,-1.52,-1.71
1539314875082,35.15,36.73,-1.58,-1.70
1539314875291,35.19,36.73,-1.54,-1.70
1539314875494,35.15,36.77,-1.62,-1.70
1539314875694,35.13,36.73,-1.60,-1.69
1539314875895,35.13,36.73,-1.60,-1.69
1539314876082,35.21,36.73,-1.52,-1.69
1539314876286,35.15,36.77,-1.62,-1.68
1539314876489,35.15,36.73,-1.58,-1.68
1539314876694,35.19,36.73,-1.54,-1.68
1539314876893,35.13,36.77,-1.64,-1.68
1539314877083,35.09,36.79,-1.70,-1.67
1539314877286,35.09,36.77,-1.68,-1.67
1539314877489,35.09,36.73,-1.64,-1.67
1539314877693,35.13,36.69,-1.56,-1.66
1539314877879,35.07,36.71,-1.64,-1.66
1539314878082,35.01,36.69,-1.68,-1.66
1539314878291,35.01,36.73,-1.72,-1.66
1539314878479,34.99,36.65,-1.66,-1.66
1539314878696,35.07,36.65,-1.58,-1.65
1539314878893,35.01,36.65,-1.64,-1.65
1539314879083,35.07,36.65,-1.58,-1.65
1539314879286,35.01,36.71,-1.70,-1.65
1539314879489,35.05,36.69,-1.64,-1.65
1539314879692,35.07,36.69,-1.62,-1.65
1539314879878,35.13,36.73,-1.60,-1.65
1539314880083,35.07,36.71,-1.64,-1.64
1539314880286,35.05,36.69,-1.64,-1.64
1539314880489,35.09,36.71,-1.62,-1.64
1539314880692,35.13,36.65,-1.52,-1.64
1539314880894,35.09,36.69,-1.60,-1.64
1539314881082,35.15,36.65,-1.50,-1.64
1539314881291,35.15,36.61,-1.46,-1.64
1539314881479,35.15,36.61,-1.46,-1.64
1539314881690,35.19,36.55,-1.36,-1.63
1539314881878,35.15,36.57,-1.42,-1.63
1539314882083,35.15,36.61,-1.46,-1.63
1539314882286,35.09,36.57,-1.48,-1.62
1539314882490,35.09,36.55,-1.46,-1.62
1539314882694,35.07,36.61,-1.54,-1.61
1539314882879,35.05,36.57,-1.52,-1.61
1539314883082,35.13,36.65,-1.52,-1.61
1539314883285,35.07,36.61,-1.54,-1.60
1539314883488,35.07,36.61,-1.54,-1.60
1539314883689,35.09,36.57,-1.48,-1.60
1539314883879,35.09,36.57,-1.48,-1.59
